target,condition,n_shared_genes,pearson_r,spearman_r,sign_agree
SETDB1,Rest,10282,0.727,0.781,0.874
SETDB1,Stim8hr,10282,0.767,0.809,0.878
SETDB1,Stim48hr,10282,0.831,0.876,0.893
TRIM28,Rest,10282,0.918,0.896,0.905
TRIM28,Stim8hr,10282,0.972,0.97,0.946
TRIM28,Stim48hr,10281,0.976,0.974,0.942
ATF7IP,Rest,10282,0.358,0.639,0.781
ATF7IP,Stim8hr,10282,0.484,0.706,0.825
ATF7IP,Stim48hr,10281,0.546,0.784,0.856
TASOR,Rest,10282,0.868,0.898,0.913
TASOR,Stim8hr,10282,0.851,0.899,0.896
TASOR,Stim48hr,10281,0.891,0.915,0.918
PPHLN1,Rest,10282,0.977,0.978,0.927
PPHLN1,Stim8hr,10282,0.977,0.978,0.948
PPHLN1,Stim48hr,10281,0.957,0.954,0.938
SUV39H1,Rest,10282,0.953,0.936,0.92
SUV39H1,Stim8hr,10282,0.953,0.96,0.937
SUV39H1,Stim48hr,10281,0.958,0.963,0.932
SUV39H2,Rest,10282,0.97,0.965,0.93
SUV39H2,Stim8hr,10282,0.94,0.944,0.935
SUV39H2,Stim48hr,10281,0.952,0.955,0.927
