target,tier,condition,window,stratum,n_genes,n_hit,a,b,c,d,fisher_OR,fisher_p,logit_coef,logit_OR,logit_p,logit_n,perm_obs,perm_null_mean,perm_p,perm_enrichment,logit_err
PPHLN1,secondary_HUSH,Rest,50kb,all,11391,106,64,42,2043,9242,6.893317483625854,9.8000404861427e-22,1.8730600203615102,6.508181126699167,6.757458580973744e-20,11391,,,,,
PPHLN1,secondary_HUSH,Rest,50kb,non_KZNF,10948,73,31,42,1776,9099,3.781491312741313,1.3202348137912984e-07,1.1759845816951882,3.2413327301517927,1.3228272928813865e-06,10948,,,,,
PPHLN1,secondary_HUSH,Rest,50kb,KZNF_only,443,33,33,0,267,143,inf,1.415425113952681e-06,24.50687266615855,43974364064.02831,0.9994876557007352,443,,,,,
PPHLN1,secondary_HUSH,Rest,100kb,all,11391,106,74,32,3680,7605,4.778957201086956,7.233131280072499e-15,1.5120764859608014,4.53614025318062,2.804182135864649e-12,11391,74.0,39.517,0.0001999600079984003,1.8726117873320343,
PPHLN1,secondary_HUSH,Rest,100kb,non_KZNF,10948,73,41,32,3374,7501,2.8484458358032008,8.200861936233072e-06,0.9095807047193449,2.4832810870229736,0.00015449938862115728,10948,41.0,25.8018,0.0003999200159968006,1.5890364238153927,
PPHLN1,secondary_HUSH,Rest,100kb,KZNF_only,443,33,33,0,306,104,inf,9.928782318085342e-05,29.182207485979063,4717063046656.489,0.999960049958941,443,33.0,30.9084,0.07898420315936813,1.0676709244088984,
PPHLN1,secondary_HUSH,Stim8hr,50kb,all,11247,84,64,20,2031,9132,14.38818316100443,1.8374076199797256e-30,2.87458144366966,17.718006585424266,9.80806685349603e-27,11247,,,,,
PPHLN1,secondary_HUSH,Stim8hr,50kb,non_KZNF,10813,35,15,20,1786,8992,3.7760358342665175,0.00022983865226203183,1.3336792565640088,3.794980439544207,0.00014644779222182448,10813,,,,,
PPHLN1,secondary_HUSH,Stim8hr,50kb,KZNF_only,434,49,49,0,245,140,inf,1.241151626203648e-09,61.430222331407926,4.773166463850285e+26,,434,,,,,
PPHLN1,secondary_HUSH,Stim8hr,100kb,all,11247,84,69,15,3643,7520,9.49547076585232,1.747985506313183e-20,2.3921104336500525,10.936550468975426,1.9943169805966958e-16,11247,69.0,29.233,0.0001999600079984003,2.3603461841070024,
PPHLN1,secondary_HUSH,Stim8hr,100kb,non_KZNF,10813,35,20,15,3358,7420,2.9461981338098076,0.0013169849649626697,1.0623950585044353,2.8932923018184393,0.0022621921331140754,10813,20.0,10.9122,0.0013997200559888023,1.8328109822034053,
PPHLN1,secondary_HUSH,Stim8hr,100kb,KZNF_only,434,49,49,0,285,100,inf,1.0985032644599371e-06,26.42082021006869,298137375866.74615,0.999801492762107,434,49.0,43.9298,0.0011997600479904018,1.1154159590983797,
PPHLN1,secondary_HUSH,Stim48hr,50kb,all,12104,158,112,46,2163,9783,11.012241452089489,1.0045618487772671e-46,2.448065997544693,11.565956486576887,1.1530172217766154e-41,12104,,,,,
