target,condition,window,stratum,n_genes,n_hit,a,b,c,d,fisher_OR,fisher_p,logit_coef,logit_OR,logit_p,logit_n,perm_obs,perm_null_mean,perm_p,perm_enrichment,logit_note,is_primary
SETDB1,Rest,50kb,all,11245,317,189,128,1893,9035,7.047407389064976,3.228303264995578e-61,1.9410169041382328,6.965830952517566,6.933257665668615e-57,11245,,,,,,True
SETDB1,Rest,50kb,non_KZNF,10806,189,65,124,1720,8897,2.7114825581395348,1.2253903813167976e-09,1.00281674911991,2.725949340065759,4.372082875484237e-10,10806,,,,,,False
SETDB1,Rest,50kb,KZNF_only,439,128,124,4,173,138,24.728323699421967,7.064217144962333e-21,3.1174995059541626,22.58982324465484,5.378827293271374e-09,439,,,,,"KZNF-only stratum: OR inflated by high KZNF/cis-ERV co-occurrence; report qualitatively, not as headline effect size",False
SETDB1,Rest,100kb,all,11245,317,222,95,3494,7434,4.971976019040159,2.034267735654248e-42,1.593866022921154,4.922743627396007,1.3864886787585758e-35,11245,222.0,115.8132,0.0001999600079984,1.916879941146605,,True
SETDB1,Rest,100kb,non_KZNF,10806,189,94,95,3286,7331,2.2074959156869656,7.507941505435601e-08,0.7890711439153616,2.201350738300471,1.8417464442111265e-07,10806,94.0,60.3378,0.0001999600079984,1.557895713797984,,False
SETDB1,Rest,100kb,KZNF_only,439,128,128,0,208,103,inf,8.484645146822765e-19,33.96170510158553,561540548209173.94,0.9999943297205184,439,128.0,118.1606,0.0001999600079984,1.083271411959655,quasi/complete separation (all KZNF hits have cis-ERV); logistic OR/p NOT interpretable,False
SETDB1,Stim8hr,50kb,all,11885,240,154,86,2079,9566,8.239448751076658,5.5137750478370904e-55,2.1025433623540404,8.186965876325418,6.084849630492094e-51,11885,,,,,,True
SETDB1,Stim8hr,50kb,non_KZNF,11425,116,34,82,1887,9422,2.0703142166556803,0.0005475107166792,0.7027131125037499,2.019223663424112,0.0007668757136186,11425,,,,,,False
SETDB1,Stim8hr,50kb,KZNF_only,460,124,120,4,192,144,22.5,1.5592244777431902e-19,2.973927008332875,19.568615019930327,1.59410627296729e-08,460,,,,,"KZNF-only stratum: OR inflated by high KZNF/cis-ERV co-occurrence; report qualitatively, not as headline effect size",False
SETDB1,Stim8hr,100kb,all,11885,240,175,65,3772,7873,5.619442858308182,6.236343397893712e-37,1.7136872937322032,5.549386015119359,1.1851143907834754e-30,11885,175.0,86.8038,0.0001999600079984,2.016040772408582,,True
SETDB1,Stim8hr,100kb,non_KZNF,11425,116,53,63,3540,7769,1.8462783606851405,0.0008632675304946,0.5818960899801806,1.7894281328974322,0.0022146572612331,11425,53.0,36.2396,0.0005998800239952,1.4624885484387244,,False
SETDB1,Stim8hr,100kb,KZNF_only,460,124,122,2,232,104,27.344827586206897,2.3541564669110636e-14,3.137948226106423,23.05651154567124,1.601989322210757e-05,460,122.0,110.6764,0.0001999600079984,1.1023126881611618,"KZNF-only stratum: OR inflated by high KZNF/cis-ERV co-occurrence; report qualitatively, not as headline effect size",False
SETDB1,Stim48hr,50kb,all,11944,239,138,101,2107,9598,6.224062178405785,1.3350978087616588e-41,1.8114770903959536,6.119479784605983,2.8124823302687098e-40,11944,,,,,,True
SETDB1,Stim48hr,50kb,non_KZNF,11493,130,35,95,1903,9460,1.831457255856404,0.0024951374999331,0.6054789086638594,1.832129421469908,0.0028157987720087,11493,,,,,,False
SETDB1,Stim48hr,50kb,KZNF_only,451,109,103,6,204,138,11.612745098039216,7.467738894344723e-14,2.283539618381415,9.811347445058818,3.709430119651244e-07,451,,,,,"KZNF-only stratum: OR inflated by high KZNF/cis-ERV co-occurrence; report qualitatively, not as headline effect size",False
SETDB1,Stim48hr,100kb,all,11944,239,162,77,3785,7920,4.40234006416305,1.5721265119419008e-28,1.483003531925835,4.406159868202558,1.8811350148142175e-25,11944,162.0,85.9304,0.0001999600079984,1.8852466647426287,,True
SETDB1,Stim48hr,100kb,non_KZNF,11493,130,56,74,3542,7821,1.670975323149236,0.0029624992695362,0.524960574660113,1.6903922027782003,0.0037459987778144,11493,56.0,40.4296,0.0023995200959808,1.3851237707026536,,False
SETDB1,Stim48hr,100kb,KZNF_only,451,109,106,3,243,99,14.395061728395062,1.0797875442707278e-10,2.436489774697715,11.43283838583069,6.373958493560968e-05,451,106.0,98.2606,0.0003999200159968,1.0787640213880234,"KZNF-only stratum: OR inflated by high KZNF/cis-ERV co-occurrence; report qualitatively, not as headline effect size",False
