target,condition,window,stratum,n_genes,n_hit,a,b,c,d,fisher_OR,fisher_p,logit_coef,logit_OR,logit_p,logit_n,logit_err
SUV39H1,Rest,50kb,all,12878,1,1,0,2431,10446,inf,0.18884920018636434,19.189462168133367,215713601.77498558,0.9980719106646536,12878,
SUV39H1,Rest,50kb,non_KZNF,12398,0,0,0,2107,10291,,1.0,,,,12398,Singular matrix
SUV39H1,Rest,100kb,all,12878,1,1,0,4297,8580,inf,0.3337474763161981,19.561714864822882,313000349.40787137,0.9988855895070726,12878,
SUV39H1,Rest,100kb,non_KZNF,12398,0,0,0,3930,8468,,1.0,0.9262245996839362,2.5249584311576236,0.9999996583909886,12398,
SUV39H1,Stim8hr,50kb,all,10235,5,3,2,1923,8307,6.47971918876755,0.049199578916814694,1.648106484030198,5.19712965639356,0.0731397329675047,10235,
SUV39H1,Stim8hr,50kb,non_KZNF,9840,2,1,1,1660,8178,4.926506024096385,0.30912217184474927,1.546310577957326,4.6941196071245725,0.2860783521292487,9840,
SUV39H1,Stim8hr,100kb,all,10235,5,4,1,3395,6835,8.05301914580265,0.04461921310798106,1.9203565822870943,6.82339113595905,0.08763803541774565,10235,
SUV39H1,Stim8hr,100kb,non_KZNF,9840,2,1,1,3097,6741,2.176622537939942,0.5305741337980511,0.7170204342144679,2.0483210021263982,0.61737099673214,9840,
SUV39H1,Stim48hr,50kb,all,13402,1,0,1,2534,10867,0.0,1.0,-19.10089667936569,5.065076076263906e-09,0.9995246332007466,13402,
SUV39H1,Stim48hr,50kb,non_KZNF,12908,1,0,1,2201,10706,0.0,1.0,-18.24710872499945,1.1895463535675837e-08,0.9993142607368708,12908,
SUV39H1,Stim48hr,100kb,all,13402,1,0,1,4444,8957,0.0,1.0,-20.678458934372845,1.045825894121155e-09,0.9996503067277106,13402,
SUV39H1,Stim48hr,100kb,non_KZNF,12908,1,0,1,4064,8843,0.0,1.0,-50.99782923351919,7.110893509607846e-23,0.9999999997769795,12908,
SUV39H2,Rest,50kb,all,12886,1,0,1,2436,10449,0.0,1.0,-20.062587522824792,1.9361051765742115e-09,0.999604799333569,12886,
SUV39H2,Rest,50kb,non_KZNF,12405,1,0,1,2110,10294,0.0,1.0,-20.5813666854347,1.1524604187852608e-09,0.9996881719237041,12405,
SUV39H2,Rest,100kb,all,12886,1,0,1,4302,8583,0.0,1.0,-92.27218268618094,8.446955888441582e-41,1.0,12886,
SUV39H2,Rest,100kb,non_KZNF,12405,1,0,1,3933,8471,0.0,1.0,-19.573669292194822,3.156918977189517e-09,0.9992332113281852,12405,
SUV39H2,Stim8hr,50kb,all,13004,0,0,0,2440,10564,,1.0,,,,13004,Singular matrix
SUV39H2,Stim8hr,50kb,non_KZNF,12524,0,0,0,2114,10410,,1.0,-0.004684533995149461,0.9953264213207005,0.9999999985242525,12524,
SUV39H2,Stim8hr,100kb,all,13004,0,0,0,4300,8704,,1.0,0.29277992834060085,1.3401478294199316,0.9999996035122302,13004,
SUV39H2,Stim8hr,100kb,non_KZNF,12524,0,0,0,3931,8593,,1.0,-0.1661536884555726,0.846916062965032,0.9999999517453713,12524,
SUV39H2,Stim48hr,50kb,all,13413,0,0,0,2533,10880,,1.0,-0.06452344305814837,0.937514135806029,0.9999999999149921,13413,
SUV39H2,Stim48hr,50kb,non_KZNF,12919,0,0,0,2200,10719,,1.0,0.04658786154220985,1.047690126695041,0.9999999640653123,12919,
SUV39H2,Stim48hr,100kb,all,13413,0,0,0,4445,8968,,1.0,,,,13413,Singular matrix
SUV39H2,Stim48hr,100kb,non_KZNF,12919,0,0,0,4065,8854,,1.0,-0.06463986875463587,0.9374049914235296,0.9999999478100554,12919,
