target,window,analysis,n_derep,n_near_derep,OR,CI_low,CI_high,p,OR_krab,a,b,c,d,padj_BH
SETDB1,50kb,raw,869,436.0,3.2206,2.7963,3.7081,0.0,,436.0,433.0,2242.0,7171.0,0.0
SETDB1,100kb,raw,869,569.0,2.5478,2.2008,2.9447,0.0,,569.0,300.0,4017.0,5396.0,0.0
TASOR,50kb,raw,248,121.0,2.786,2.1644,3.5865,0.0,,121.0,127.0,2557.0,7477.0,0.0
TASOR,100kb,raw,248,155.0,2.1075,1.6223,2.726,0.0,,155.0,93.0,4431.0,5603.0,0.0
PPHLN1,50kb,raw,214,154.0,7.6715,5.6501,10.3086,0.0,,154.0,60.0,2524.0,7544.0,0.0
PPHLN1,100kb,raw,214,167.0,4.5422,3.2583,6.2363,0.0,,167.0,47.0,4419.0,5649.0,0.0
ATF7IP,50kb,raw,56,24.0,2.1398,1.2705,3.6399,0.0058,,24.0,32.0,2654.0,7572.0,0.0084
ATF7IP,100kb,raw,56,35.0,2.0783,1.2034,3.5227,0.0098,,35.0,21.0,4551.0,5675.0,0.0131
TRIM28,50kb,raw,21,10.0,2.5872,1.1242,6.0049,0.0419,,10.0,11.0,2668.0,7593.0,0.0516
TRIM28,100kb,raw,21,12.0,1.6578,0.7031,3.8066,0.2766,,12.0,9.0,4574.0,5687.0,0.3161
TASOR2,50kb,raw,42,35.0,14.3719,6.1807,29.9419,0.0,,35.0,7.0,2643.0,7597.0,0.0
TASOR2,100kb,raw,42,37.0,9.2577,3.4825,20.8914,0.0,,37.0,5.0,4549.0,5691.0,0.0
SETDB1,50kb,excl_KRABZNF,714,286.0,2.2266,1.9035,2.6066,0.0,,286.0,428.0,2144.0,7144.0,0.0
SETDB1,100kb,excl_KRABZNF,714,416.0,1.9235,1.6477,2.2431,0.0,,416.0,298.0,3906.0,5382.0,0.0
TASOR,50kb,excl_KRABZNF,208,81.0,2.0214,1.5282,2.6851,0.0,,81.0,127.0,2349.0,7445.0,0.0
TASOR,100kb,excl_KRABZNF,208,115.0,1.6422,1.2453,2.161,0.0005,,115.0,93.0,4207.0,5587.0,0.001
