target,condition,th1_mean_log2fc,th2_mean_log2fc,module_score,concordant_sig,discordant_sig,th1_up_sig,th2_down_sig,th1_down_sig,th2_up_sig,module,perm_p_predicted_dir,perm_p_twosided,null_sd,z_vs_null
ATF7IP,Rest,0.193,0.093,0.1,0,0,0,0,0,0,core,0.3779,0.7537,0.39,0.26
ATF7IP,Stim8hr,0.085,-0.142,0.226,0,0,0,0,0,0,core,0.2572,0.52,0.374,0.6
ATF7IP,Stim48hr,0.157,-0.171,0.328,0,0,0,0,0,0,core,0.1788,0.3544,0.37,0.89
PPHLN1,Rest,0.026,-0.28,0.306,0,0,0,0,0,0,core,0.0804,0.1565,0.225,1.36
PPHLN1,Stim8hr,0.066,-0.054,0.12,0,0,0,0,0,0,core,0.2702,0.5409,0.222,0.54
PPHLN1,Stim48hr,0.014,-0.31,0.323,0,0,0,0,0,0,core,0.0941,0.1824,0.254,1.27
SETDB1,Rest,0.157,-0.407,0.564,0,0,0,0,0,0,core,0.0602,0.1187,0.366,1.54
SETDB1,Stim8hr,0.153,-0.483,0.636,0,0,0,0,0,0,core,0.0251,0.0525,0.324,1.96
SETDB1,Stim48hr,-0.004,-0.38,0.376,0,0,0,0,0,0,core,0.1092,0.2131,0.32,1.18
SUV39H1,Rest,-0.08,-0.172,0.092,0,0,0,0,0,0,comparator,0.3287,0.6549,0.227,0.41
SUV39H1,Stim8hr,-0.083,-0.435,0.353,0,0,0,0,0,0,comparator,0.0598,0.118,0.232,1.52
SUV39H1,Stim48hr,-0.03,-0.124,0.094,0,0,0,0,0,0,comparator,0.3215,0.6464,0.225,0.42
SUV39H2,Rest,0.025,-0.06,0.085,0,0,0,0,0,0,comparator,0.3316,0.6787,0.223,0.38
SUV39H2,Stim8hr,-0.056,0.719,-0.774,0,0,0,0,0,0,comparator,0.9991,0.0025,0.209,-3.7
SUV39H2,Stim48hr,-0.087,0.521,-0.609,0,0,0,0,0,0,comparator,0.9973,0.0061,0.194,-3.14
TASOR,Rest,0.178,0.395,-0.218,0,0,0,0,0,0,core,0.7576,0.4898,0.33,-0.66
TASOR,Stim8hr,0.013,0.334,-0.321,0,0,0,0,0,0,core,0.8502,0.2975,0.32,-1.0
TASOR,Stim48hr,0.023,-0.276,0.3,0,0,0,0,0,0,core,0.1548,0.3023,0.299,1.0
TRIM28,Rest,0.101,-0.212,0.313,0,0,0,0,0,0,core,0.1519,0.302,0.317,0.99
TRIM28,Stim8hr,-0.051,-1.005,0.953,0,0,0,0,0,0,core,0.0016,0.0029,0.271,3.52
TRIM28,Stim48hr,0.115,-0.712,0.827,0,0,0,0,0,0,core,0.003,0.0064,0.256,3.23
