target,class_,condition,n_genes,pearson_r,pearson_p,spearman_r,spearman_p,scope
PPHLN1,HUSH_ref,Rest,12907,0.1655,6.1952749114094566e-80,0.2541,2.760991714943858e-189,genome_wide
TASOR,HUSH_ref,Rest,12920,0.5306,0.0,0.4963,0.0,genome_wide
SUV39H1,SUV39,Rest,12901,-0.1805,6.268334753671537e-95,-0.1657,4.366005383882507e-80,genome_wide
SUV39H2,SUV39,Rest,12906,0.1837,2.4322249395207515e-98,0.2234,1.1588277535784614e-145,genome_wide
KDM4A,KDM4,Rest,12922,0.1262,5.087772302979629e-47,0.058,4.034052886017668e-11,genome_wide
KDM4B,KDM4,Rest,12908,0.2506,5.655384069101952e-184,0.2201,2.1354404923871036e-141,genome_wide
KDM4C,KDM4,Rest,12906,0.0734,7.171467990898162e-17,0.1011,1.0841992978774399e-30,genome_wide
PPHLN1,HUSH_ref,Stim8hr,13035,0.1557,1.6727534782414292e-71,0.1898,5.103379760080361e-106,genome_wide
TASOR,HUSH_ref,Stim8hr,13045,0.4017,0.0,0.3198,5.169520165743568e-308,genome_wide
SUV39H1,SUV39,Stim8hr,13027,-0.1613,1.1549648207954596e-76,-0.1688,6.6347597498706e-84,genome_wide
SUV39H2,SUV39,Stim8hr,13027,-0.06,7.2390296153109236e-12,-0.0511,5.359383625915279e-09,genome_wide
KDM4A,KDM4,Stim8hr,13054,0.2639,7.672581142494883e-207,0.1909,2.414357957089272e-107,genome_wide
KDM4B,KDM4,Stim8hr,13036,0.1301,2.61722596253541e-50,0.1465,2.0532657096605196e-63,genome_wide
KDM4C,KDM4,Stim8hr,13038,0.1836,2.9319038674198424e-99,0.2103,3.447073084201285e-130,genome_wide
PPHLN1,HUSH_ref,Stim48hr,13425,-0.143,3.102994006367987e-62,-0.1076,7.525806697566529e-36,genome_wide
TASOR,HUSH_ref,Stim48hr,13446,0.3754,0.0,0.3264,0.0,genome_wide
SUV39H1,SUV39,Stim48hr,13423,-0.1415,5.8041984026809365e-61,-0.1059,8.287400393946087e-35,genome_wide
SUV39H2,SUV39,Stim48hr,13433,-0.0736,1.3270800127120749e-17,-0.021,0.0150894494405801,genome_wide
KDM4A,KDM4,Stim48hr,13453,0.2894,7.257804205152346e-258,0.148,8.663730905950435e-67,genome_wide
KDM4B,KDM4,Stim48hr,13435,0.0893,3.4530794773279564e-25,0.174,8.24443710545e-92,genome_wide
KDM4C,KDM4,Stim48hr,13435,0.2706,3.6974497466002335e-224,0.1962,1.1548463342847881e-116,genome_wide
