gene,gene_set,chembl_target,n_MoA_drugs,n_bioactivities,best_potency_nM,best_assay_type,n_sub100nM,tractability_tier,manual_answer
SETDB1,core_module,CHEMBL2321646,0,142,80.0,Kd,2.0,Sub-100nM probe (preclinical),sub-100nM chemical probes (2024)
TRIM28,core_module,CHEMBL3769297,0,43,78.69,Kd,1.0,Sub-100nM probe (preclinical),no chemical matter
ATF7IP,core_module,,0,0,,,,Undrugged (no ChEMBL target),no chemical matter
TASOR,core_module,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
MPHOSPH8,core_module,CHEMBL1741210,0,661,25000.0,IC50,,Minimal chemical matter,(not in manual list)
PPHLN1,core_module,CHEMBL6067412,0,2,335.86,Kd,,Weak/tool chemical matter,(not in manual list)
SUV39H1,comparator,CHEMBL1795118,0,164,66.0,IC50,,Sub-100nM probe (preclinical),(not in manual list)
SUV39H2,comparator,CHEMBL1795177,0,1000,1.77,IC50,611.0,Mature sub-100nM series (preclinical),(not in manual list)
KDM4A,eraser_KDM4,CHEMBL5896,0,1000,700.0,IC50,0.0,Weak/tool chemical matter,PROTAC/degrader chemistry (family)
KDM4B,eraser_KDM4,CHEMBL3313832,0,171,4.0,IC50,63.0,Mature sub-100nM series (preclinical),PROTAC/degrader chemistry (family)
KDM4C,eraser_KDM4,CHEMBL6175,0,1000,1.3,EC50,38.0,Mature sub-100nM series (preclinical),mature sub-100nM series (2014/16) + PROTAC/degrader
ZFP90,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF311,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF568,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF573,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF596,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF627,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF66,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF816,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
ZNF85,KZFP,,0,0,,,,Undrugged (no ChEMBL target),(not in manual list)
