condition,Term,ES,NES,pval,fdr,Tag %,Gene %,leading_edge
Rest,Myc Targets V1,-0.6828548024246964,-3.609725784758577,0.0,0.0,105/139,20.40%,PSMA7;SNRPA1;RFC4;CCNA2;SNRPG;TFDP1;RRM1;PA2G4;CYC1;GSPT1;KPNA2;HNRNPA3;IMPDH2;PSMA2;PCNA;TCP1;USP1;CDC45;CCT5;CCT4;VDAC3;CDK4;CDC20;CDK2;H2AZ1;EIF4A1;MAD2L1;PSMD14;ODC1;PSMD3;PSMD1;PSMB2;NDUFAB1;EIF4E;TOMM70;TRIM28;ILF2;MCM7;MCM4;TUFM;C1QBP;SRSF2;VDAC1;HNRNPD;NME1;HNRNPA2B1;PSMD7;PSMB3;TRA2B;CBX3;SRM;PSMA1;PSMA4;TYMS;MCM5;PPM1G;LSM2;PRDX3;DHX15;HNRNPC;MCM2;SNRPA;CAD;ERH;PSMD8;HNRNPU;AIMP2;DUT;HSPD1;XPO1;HSPE1;HDGF;POLE3;VBP1;HSP90AB1;PRDX4;PPIA;CTPS1;UBE2L3;PRPF31;GOT2;ACP1;SERBP1;MCM6;RNPS1;XPOT;SNRPB2;MYC;SSBP1;COPS5;SRPK1;SLC25A3;YWHAQ;UBA2;SYNCRIP;SRSF7;YWHAE;SF3B3;EIF4H;EIF2S2;RAD23B;LSM7;PABPC4;IARS1;FAM120A
Rest,Myc Targets V2,-0.7093591204015605,-2.9899131637538554,0.0,0.0,24/34,17.61%,TBRG4;PA2G4;PLK1;TMEM97;CDK4;DCTPP1;RABEPK;PLK4;MCM4;SORD;CBX3;SRM;MCM5;NIP7;NDUFAF4;AIMP2;IMP4;HK2;HSPD1;HSPE1;SLC19A1;UNG;MYC;TFB2M
Rest,Spermatogenesis,-0.35970600683238474,-1.736672474742345,0.0,0.060215053763440864,22/64,8.89%,GSTM3;MAP7;DMC1;TTK;RFC4;KIF2C;TOPBP1;BUB1;DBF4;NEK2;CCNB2;NCAPH;AURKA;EZH2;VDAC3;CLPB;CDKN3;CDK1;MAST2;PSMG1;TALDO1;ARL4A
Rest,Interferon Alpha Response,0.48610789455094566,1.525130805902768,0.0,0.14334179786693754,47/90,31.13%,LY6E;CASP8;IFITM1;TRAFD1;IFITM3;HERC6;IFITM2;PLSCR1;SAMD9;DHX58;TMEM140;IFI44;STAT2;NUB1;IFI44L;IRF9;BST2;TRIM25;DDX60;ADAR;LGALS3BP;ISG20;OGFR;TXNIP;UBA7;UBE2L6;TRIM14;TRIM21;SAMD9L;OAS1;TRIM5;EPSTI1;PROCR;SP110;EIF2AK2;IFIH1;PARP12;RSAD2;IFI27;LPAR6;IFI35;IRF7;TAP1;PARP9;PARP14;MX1;USP18
Rest,Estrogen Response Late,-0.28258488929945924,-1.3767771504057058,0.0,0.24838709677419357,40/119,15.55%,MAPK13;SGK1;ALDH3A2;ID2;COX6C;STIL;KIF20A;PERP;SLC27A2;LSR;SLC16A1;TOP2A;CDC20;FABP5;SLC29A1;PLK4;FKBP4;MYOF;SORD;GINS2;ITPK1;RBBP8;IGFBP4;PLAAT3;TIAM1;PRSS23;GLA;SFN;SLC7A5;NMU;GALE;CDC6;PTPN6;CLIC3;KCNK5;MAPT;NBL1;IMPA2;NXT1;DHCR7
Rest,Interferon Gamma Response,0.41121051832195266,1.3173215370738656,0.009,0.7298730319959371,72/172,31.13%,LY6E;CASP8;TAPBP;TRAFD1;IFITM3;HERC6;IFITM2;PLSCR1;NLRC5;DHX58;ST3GAL5;SECTM1;RAPGEF6;IFI44;STAT2;XAF1;IFI44L;CASP4;ZBP1;IRF9;APOL6;BST2;STAT3;PTPN2;GCH1;TRIM25;DDX60;ADAR;ITGB7;LGALS3BP;PTPN1;ISG20;GZMA;OGFR;TXNIP;CD40;CFH;OAS3;STAT1;MX2;UBE2L6;TRIM14;TRIM21;SAMD9L;SAMHD1;EPSTI1;IL15RA;RBCK1;SP110;LCP2;STAT4;EIF2AK2;RIPK1;PELI1;IFIH1;CSF2RB;PARP12;OAS2;VAMP8;NCOA3;RSAD2;IFNAR2;IFI27;PLA2G4A;PSMB10;IFI35;IRF7;TAP1;PARP14;MX1;MYD88;USP18
Rest,Oxidative Phosphorylation,-0.2111034955427688,-1.2902502337276156,0.0,0.30709677419354836,56/176,15.78%,TIMM10;ATP5PB;ACAT1;COX6C;UQCRC1;CYCS;CYC1;FH;VDAC3;COX17;SDHB;NDUFA9;NDUFAB1;SLC25A5;TOMM70;GPI;HTRA2;UQCRFS1;ATP5F1B;COX6A1;OAT;NDUFB6;NDUFS6;VDAC1;ATP5MC3;NDUFB3;TIMM8B;VDAC2;DECR1;ETFA;IDH3B;TIMM17A;HCCS;TIMM13;PRDX3;NNT;COX8A;PDHA1;DLD;NDUFV2;SUCLG1;AFG3L2;TOMM22;IMMT;FXN;NDUFB2;DLST;UQCRQ;TIMM50;GOT2;GLUD1;ATP5F1A;NDUFS1;LRPPRC;ISCU;SUCLA2
Rest,Bile Acid Metabolism,0.41655657783616074,1.242182050531306,0.11246200607902736,1.0,44/69,44.04%,NEDD4;SCP2;GSTK1;SLC22A18;SULT1B1;IDH2;ABCD2;HACL1;NPC1;OPTN;PEX6;ATXN1;PEX7;LONP2;NR3C2;GNMT;SLC23A1;LIPE;EFHC1;PEX11G;PHYH;ALDH9A1;PRDX5;HSD17B6;IDH1;PEX12;PEX16;PEX19;HSD3B7;ACSL5;LCK;PNPLA8;PEX13;RETSAT;SOD1;NUDT12;SLC27A5;CAT;ABCA3;PAOX;APOA1;ALDH8A1;CROT;SLC23A2
Rest,Protein Secretion,0.39252325251630943,1.2076371035499966,0.14112903225806453,1.0,23/77,19.57%,ERGIC3;STX16;GALC;ADAM10;LAMP2;VPS45;RAB5A;VPS4B;VAMP4;NAPA;IGF2R;ARFGAP3;ATP7A;ARFGEF1;SEC31A;CTSC;ATP6V1H;ARFIP1;RAB2A;MON2;TSG101;SNAP23;AP1G1
Rest,Myogenesis,0.37958338522531565,1.1617041970438895,0.1606425702811245,1.0,31/96,24.57%,CFD;FHL1;SVIL;FXYD1;MEF2D;LPIN1;ADCY9;MEF2A;EIF4A2;GAA;HDAC5;OCEL1;MYOM1;TPM2;LSP1;SH3BGR;TAGLN;PSEN2;SH2B1;PC;MYH3;KLF5;TCAP;RIT1;ENO3;COL6A2;AGRN;APP;GADD45B;BHLHE40;CKB
